customer_name,customer_email,customer_gender,customer_age_group,customer_loyalty_program,product_category,product_sub_category,product_name,product_rating,product_review_text,product_return_status,product_issue_type,order_id,order_status,purchase_mode,payment_mode,discount_applied,store_location,delivery_status,order_fulfillment_time,response_time,follow_up_required,feedback_date,feedback_category,feedback_sub_category,sentiment,customer_sentiment_score,feedback_text_length,customer_support_rating,resolution_status,staff_name,staff_email
Erik Lopez,daniel09@example.org,Male,18-24,No,Personal Care,Skincare,re-intermediate distributed vortals,3,"Instead hotel fill skill concern city. Outside discuss voice reduce.
Lot chance sense. Require hospital far discover. Reveal lot girl fall.",Yes,Not as Described,78f0e747-7fad-48d4-87c6-852009275a2d,Confirmed,Offline,UPI,Yes,Chicago,Pending,7,18,No,2024-06-30,Price,Average,Positive,0.4691169981714356,195,2,Not Resolved,Paul Brown,jeffreyleonard@example.com
David Mayo,grahamjoseph@example.org,Male,25-34,No,Stationery,Bedding,benchmark user-centric web-readiness,3,Movie capital one soldier direction. Moment sort billion. Soldier off language newspaper from operation. Blue local campaign movement certain thing owner hit.,Yes,Other,830356db-45f0-4080-9b30-9fade6f11ec3,Confirmed,Online,Cash,Yes,New York,Delivered,1,15,Yes,2024-09-18,Usability,Good,Positive,-0.9399601631631045,95,1,Resolved,Sarah Gill,carolgarcia@example.org
Angela Reynolds,holly17@example.net,Female,45-54,Yes,Household Items,Pencils,revolutionize leading-edge methodologies,3,"Around response cultural occur skill. Vote line number radio follow.
Financial subject activity black though. Official play fast care a law resource guess.",Yes,Defective,cb6f58f0-ae3b-4a53-9882-7b337b6bab68,Not Confirmed,Online,UPI,No,London,Pending,1,3,No,2024-01-31,Price,Poor,Positive,0.9566973121602409,78,1,Resolved,Matthew Hall,carolgarcia@example.org
Caitlin Pena,john99@example.org,Female,18-24,No,Household Items,Beverages,utilize end-to-end synergies,4,"May before down. Seem range light staff TV pay number side.
With training draw American reduce easy film. Lead or citizen follow modern article.",Yes,Missing Parts,fd6f5148-c90f-4dd7-b5b1-c7fccfe81817,Confirmed,Offline,UPI,No,Chicago,Pending,4,4,Yes,2024-05-22,Delivery,Poor,Positive,-0.09721497053970785,74,1,Resolved,Regina Rodriguez,cwhite@example.com
Brad Garcia,sherri60@example.org,Female,25-34,Yes,Stationery,Pencils,matrix clicks-and-mortar supply-chains,1,Account color discussion present role then. Else nature voice reduce late threat sing. Thus perhaps nation finish. Number education fear field evening do particular.,No,Not as Described,9f5926cf-3690-42c7-9391-8c453577b483,Not Confirmed,Offline,Cash,Yes,Mumbai,Delivered,7,5,Yes,2024-10-22,Price,Poor,Negative,0.2708051971605643,179,3,Resolved,Sarah Gill,rachelstone@example.net
Alexandra Jones,millerjessica@example.net,Male,25-34,No,Kitchen Appliances,Beverages,unleash enterprise models,5,"Red up I. Plan compare since specific.
Happy energy difficult interesting. Popular animal together herself. Door others worker yard off know.",Yes,Defective,f8f3befd-9208-4ee2-b341-a2b7b0c87a66,Not Confirmed,Offline,Cash,No,Los Angeles,Shipped,7,23,Yes,2024-08-15,Usability,Poor,Negative,0.7050073673144643,185,4,Not Resolved,Rebecca Banks,amandabrady@example.org
Jennifer Sullivan,tbenton@example.net,Male,25-34,No,Household Items,Beverages,architect synergistic infrastructures,5,"Lawyer young senior attack whatever. Authority door thousand structure stuff cover.
President support large health race. She term require majority car. Say successful very plan.",No,Defective,fc92c8f3-824d-4ac7-ba68-3ee979946984,Not Confirmed,Online,Card,Yes,New York,Pending,3,10,No,2024-03-02,Quality,Poor,Neutral,-0.9889972427148317,175,3,Resolved,Rodney Hunt,thomas01@example.org
Lisa Holmes,stephenmorrow@example.org,Female,45-54,Yes,Personal Care,Skincare,brand integrated schemas,1,Man tonight boy common unit improve peace. Chance big expect thousand speech such federal. Write huge long describe our.,Yes,Defective,d27c362f-1b85-4400-9605-40dc86d3a8d8,Confirmed,Offline,Cash,No,Los Angeles,Shipped,7,13,Yes,2024-05-08,Quality,Excellent,Neutral,0.1770021256822778,105,2,Resolved,Rebecca Banks,thompsondawn@example.org
Crystal Williams,ytran@example.net,Male,18-24,Yes,Stationery,Bedding,re-intermediate scalable deliverables,2,"Serve stay either generation suddenly wall. Purpose watch measure prove outside girl. High claim news.
Section none civil service. Prepare give for fire smile throw. End beautiful structure.",No,Other,ae2515a0-e6d1-4c9f-90bc-76044377eaed,Confirmed,Online,Card,Yes,New York,Pending,3,2,Yes,2024-06-03,Service,Excellent,Positive,-0.7438838803103323,98,5,Not Resolved,Regina Rodriguez,thomas01@example.org
Matthew Thomas,wgarcia@example.org,Male,45-54,Yes,Kitchen Appliances,Bedding,exploit bricks-and-clicks solutions,2,"Continue same identify together. Table above participant.
Worker very data water appear. Voice main very protect. Meet east suffer drop how remain.",No,Not as Described,b08adf1a-14f8-4c63-bbeb-d92ec23d15ba,Confirmed,Online,Cash,No,Los Angeles,Pending,3,19,Yes,2024-05-24,Price,Good,Neutral,0.1214087167738851,190,4,Resolved,Matthew Hall,cwhite@example.com
Shirley Riley,slara@example.net,Other,25-34,No,Household Items,Microwaves,incentivize innovative convergence,2,"About nation his yes director Congress realize. Language seek power ten professional road clearly because.
Part I nearly central candidate. Decade central billion blue.",No,Missing Parts,9b00953c-347a-4180-997f-d045e7d2ffe7,Confirmed,Online,UPI,Yes,Mumbai,Pending,3,16,No,2024-02-26,Price,Good,Neutral,0.9684305135725155,149,3,Resolved,Sarah Gill,amandabrady@example.org
Thomas Fuller,fgonzales@example.org,Male,35-44,No,Kitchen Appliances,Vegetables,exploit user-centric deliverables,4,"Turn cost reflect similar strong billion. Mind anyone chair however order mouth performance.
Treatment finish give between. Of street sound food whose. Stay writer green church out rock project.",Yes,Not as Described,fad3d1de-a0b4-4261-a22a-f8a1726c87c2,Confirmed,Offline,Card,No,London,Shipped,2,23,No,2024-10-16,Price,Poor,Neutral,-0.6414906799952342,111,3,Resolved,Karen Taylor,thomas01@example.org
Dr. Susan Leonard DDS,daviscarl@example.net,Male,45-54,No,Groceries,Hair Care,seize back-end portals,4,Discover six nation again party protect much. Successful ahead great vote listen their. Choose laugh probably thus success fast become.,No,Other,a01f1fdb-9036-42e8-8ba7-4a26c61d632e,Not Confirmed,Offline,Cash,Yes,London,Delivered,7,21,No,2024-03-16,Quality,Excellent,Neutral,0.7049407714242013,158,1,Resolved,Rodney Hunt,carolgarcia@example.org
Eric Powell,rcarpenter@example.com,Other,45-54,No,Groceries,Oral Care,target dot-com solutions,1,Although executive themselves kitchen free system necessary. Determine there moment him painting. Chair middle across argue we wind imagine.,No,Not as Described,52bc53b9-98c7-47ab-9c6c-bde3345b673e,Not Confirmed,Offline,Cash,Yes,Mumbai,Delivered,4,14,No,2024-09-25,Quality,Good,Neutral,-0.9245712702048021,122,1,Resolved,Rebecca Banks,mcraig@example.com
Christopher Bray,timothy42@example.org,Other,35-44,Yes,Household Items,Furniture,morph granular synergies,1,Cold ball outside instead small dog production create. Protect choice change treat along cell hand.,No,Defective,33a590f1-8c5d-4122-8b31-7bc5adf95bf2,Confirmed,Online,UPI,No,New York,Shipped,7,16,No,2024-11-26,Usability,Good,Neutral,-0.9792900119111145,125,3,Resolved,Jason Howell,rachelstone@example.net
Yolanda Fleming,tsnow@example.net,Female,18-24,No,Groceries,Rice Cookers,enable frictionless info-mediaries,4,Career role support guess enter instead magazine. Each expect item. Piece first position concern hot individual civil best.,Yes,Missing Parts,9df8cb84-1ee5-4c15-b353-dfcdbf2a3dcf,Not Confirmed,Online,Cash,No,Chicago,Delivered,3,6,Yes,2024-07-05,Usability,Good,Negative,0.9425486509977608,183,1,Resolved,Paul Brown,cwhite@example.com
Travis Phillips,kendramcneil@example.org,Other,45-54,Yes,Kitchen Appliances,Bedding,transition e-business infrastructures,1,"Field then mouth. Describe network bill back window thought. Break coach cultural return section.
Throw six support fill smile method. Personal bit attention better probably.",Yes,Not as Described,c1458d4c-a0c4-4e4c-8bf9-bc5d0b6e6dc5,Not Confirmed,Offline,Cash,Yes,Chicago,Shipped,5,9,No,2024-04-30,Quality,Excellent,Neutral,-0.6070738967476799,79,3,Not Resolved,Linda Barber,thomas01@example.org
Hailey Carrillo,jasoncarrillo@example.org,Male,35-44,Yes,Personal Care,Furniture,scale holistic experiences,2,Just by opportunity husband. Than important boy suffer tend. Far interest education.,No,Other,23995c2b-b694-43f1-bb55-f691b8cd64b0,Not Confirmed,Online,Card,No,Chicago,Delivered,6,13,Yes,2024-05-29,Service,Excellent,Negative,-0.6003925008786564,182,1,Not Resolved,Paul Brown,jeffreyleonard@example.com
Patricia Choi,cantrellwalter@example.org,Other,55+,No,Personal Care,Beverages,unleash user-centric vortals,2,"Image artist money investment. Visit treatment news. Executive true executive next game other these.
North into allow herself class. Theory national guy need.",No,Not as Described,8eabe6e0-d62d-4c39-bfb1-bfef8c5b4220,Confirmed,Online,Cash,Yes,Chicago,Delivered,3,14,No,2024-08-20,Service,Poor,Negative,0.49698157539000754,135,5,Resolved,Rebecca Banks,jeffreyleonard@example.com
Crystal Sexton,traceymcbride@example.net,Female,25-34,Yes,Household Items,Microwaves,evolve efficient info-mediaries,3,Opportunity though turn research institution them read down. Build yourself beautiful TV send bank person. Its million some until daughter where south everybody.,No,Defective,3382d66a-99cc-46b9-9493-dd96735ab0b2,Confirmed,Online,UPI,No,Chicago,Delivered,2,19,No,2024-07-19,Usability,Good,Positive,0.49959233943110815,142,2,Resolved,Rodney Hunt,dvalenzuela@example.net
Zachary Reed,carrdonald@example.com,Female,35-44,Yes,Personal Care,Beverages,monetize ubiquitous e-markets,3,"Soon material need little stand. Soldier air again enter.
Carry us goal about. Modern Democrat available to on.",No,Defective,309c9aa2-52fc-4fc9-8b0f-65d0b25744a4,Confirmed,Online,Cash,No,New York,Pending,1,20,Yes,2024-01-28,Customer Support,Average,Positive,-0.10470982667911088,182,3,Resolved,Linda Barber,bondcourtney@example.com
Angela Lindsey,phamvalerie@example.net,Other,35-44,No,Groceries,Oral Care,harness open-source eyeballs,5,"Reduce campaign interview question none current. Whole since ball member Mrs range.
Low never nor commercial. Continue hot four west family foreign difference.
Move right for defense old.",No,Not as Described,94fc3df0-a7a8-4b7c-9c6b-edf5bcb0a01d,Not Confirmed,Online,Cash,No,New York,Delivered,3,15,No,2024-01-16,Price,Average,Positive,0.33226372766676016,109,5,Resolved,Rebecca Banks,amandabrady@example.org
Hannah Jones,smithjeff@example.org,Female,45-54,Yes,Kitchen Appliances,Pens,aggregate intuitive users,2,Yes protect suffer quite carry it. He certainly market fill woman guy. Situation friend build choice high green.,No,Other,bcaeb5ec-1290-498a-8b2a-23badcf5a5ea,Confirmed,Online,Card,No,London,Delivered,2,7,Yes,2024-03-24,Price,Good,Negative,0.22905883011156813,102,2,Resolved,Rodney Hunt,mcraig@example.com
Carrie Cobb,khardy@example.net,Female,45-54,Yes,Groceries,Vegetables,unleash granular architectures,5,Success quality forward instead arrive whatever. Control century cover although wide crime. Build miss attack thought none food community drop. Door box successful plant cell.,Yes,Missing Parts,5eef4dae-195b-4a8b-8f55-4968d6c0a383,Not Confirmed,Offline,UPI,Yes,Chicago,Pending,5,20,Yes,2024-03-11,Customer Support,Poor,Neutral,0.02395910437921933,128,1,Resolved,Matthew Hall,mcraig@example.com
Samuel Velazquez,elizabeth09@example.org,Other,35-44,Yes,Personal Care,Beverages,envisioneer 24/365 platforms,5,Little north she as position authority later. Theory company response so eat. Natural suffer much six itself another.,Yes,Not as Described,e40e1b7d-0f46-4664-90f6-17f499eb248b,Confirmed,Online,Card,Yes,Mumbai,Shipped,4,9,Yes,2024-05-21,Service,Excellent,Positive,-0.2070836100135629,173,4,Not Resolved,Paul Brown,jeffreyleonard@example.com
John Rodriguez,joshua27@example.org,Other,35-44,Yes,Personal Care,Beverages,cultivate viral platforms,4,Drive never account reduce he store generation. Thing late history consumer word onto face. Hope though indeed set.,No,Not as Described,27e21624-b34e-4ef4-961e-c113962f954a,Confirmed,Online,Cash,No,Mumbai,Delivered,7,13,No,2024-07-27,Price,Good,Negative,-0.8250616029266551,154,3,Not Resolved,Regina Rodriguez,thompsondawn@example.org
Curtis Johnson,johnscott@example.com,Female,18-24,Yes,Personal Care,Rice Cookers,visualize end-to-end portals,4,Pay despite behavior among movie information be tend. Action during stop style table he. Parent single its treatment already half say strategy.,Yes,Not as Described,57201741-e9e6-4a69-bc85-4b36f3ba2334,Confirmed,Offline,UPI,No,London,Delivered,5,9,Yes,2024-09-13,Price,Poor,Negative,-0.0074691312475962945,160,4,Not Resolved,Rebecca Banks,carolgarcia@example.org
Haley Perez,ryanmarsh@example.org,Female,25-34,No,Groceries,Furniture,target cross-platform functionalities,2,Boy common southern space pass. Born ago process first. Along agreement despite.,Yes,Missing Parts,d1d358cb-42a1-4e9d-80c0-a36733f16087,Not Confirmed,Offline,Cash,Yes,Los Angeles,Shipped,3,21,No,2024-03-08,Price,Average,Neutral,0.15347345640897614,116,5,Not Resolved,Rebecca Banks,thomas01@example.org
Kathleen Hunt,patricia87@example.org,Other,25-34,No,Personal Care,Bedding,engage 24/7 niches,1,"Model officer cost her. Nice before help. Available physical success three will would everybody.
Unit race any energy after along interesting. Skin require put ahead its. Everybody nor ball step.",Yes,Missing Parts,4ece67d7-4cc7-45bc-a8c6-e3e87f71f318,Confirmed,Offline,UPI,Yes,London,Pending,4,24,No,2024-03-27,Price,Excellent,Positive,-0.12856854060757916,171,5,Not Resolved,Kathleen Friedman,thomas01@example.org
Martin Cardenas,sosadavid@example.org,Female,18-24,No,Personal Care,Cleaning Supplies,iterate holistic infrastructures,3,"Budget a including front exactly whole participant. Last beyond per company significant wear.
Collection decide improve dream thousand case security. Start artist everyone feeling.",No,Missing Parts,cf8441b8-2e74-4ac1-b199-2bef4ea9a3f5,Not Confirmed,Offline,Cash,Yes,Los Angeles,Delivered,5,21,Yes,2024-07-21,Customer Support,Average,Positive,0.323353747970206,190,5,Resolved,Paul Brown,amandabrady@example.org
Nicholas Hays,williamsjeremy@example.org,Other,35-44,Yes,Kitchen Appliances,Pencils,seize proactive applications,3,"Pm reveal know huge little. Theory author story two. Crime behavior term treat past create religious.
According guy perhaps democratic sense film herself. Three hear provide.",No,Defective,69022fbf-13d4-4bb4-89aa-3ad24609b0e8,Confirmed,Online,Card,No,Mumbai,Pending,7,22,No,2024-03-07,Delivery,Good,Positive,-0.5482374236849714,111,2,Not Resolved,Paul Brown,carolgarcia@example.org
Angela Brown,brianprice@example.com,Other,55+,No,Stationery,Fruits,incentivize ubiquitous applications,3,"Employee may term process industry million.
Should what pressure until example break wide manager. Western resource either painting level apply treat.",No,Not as Described,56bce246-54b9-40d2-a93e-f92325ba39cf,Confirmed,Offline,UPI,No,New York,Delivered,7,17,Yes,2024-01-04,Price,Excellent,Negative,-0.4920248434306611,102,4,Resolved,Jason Howell,thompsondawn@example.org
Joseph Raymond,debrarandolph@example.net,Other,35-44,Yes,Personal Care,Toasters,iterate B2B e-commerce,3,Future positive discussion five lose. Different through course. Success much mission want five professor necessary.,No,Other,bebc0a33-2c58-431c-a3aa-218c84fd5495,Not Confirmed,Online,UPI,Yes,Los Angeles,Delivered,2,11,Yes,2024-01-27,Customer Support,Average,Negative,0.28353262296089055,133,2,Not Resolved,Kathleen Friedman,bondcourtney@example.com
David Blanchard,anthony16@example.com,Female,55+,Yes,Stationery,Snacks,engineer collaborative communities,5,"Sense western be want last road back. Simply idea collection cover discussion foreign newspaper.
Score especially level color network radio do model.",Yes,Other,e4df965c-5975-410e-bafa-22cad7f241b2,Not Confirmed,Offline,UPI,Yes,Mumbai,Pending,3,9,Yes,2024-06-17,Service,Good,Negative,-0.17293267935743084,184,4,Not Resolved,Jason Howell,cwhite@example.com
Michelle Clements,campbelltravis@example.com,Male,25-34,No,Stationery,Cleaning Supplies,cultivate e-business users,2,"Fine some course reduce too. Already reality body different. Player ground good else well.
Explain bill apply easy I stage while. Source nice cover.",Yes,Defective,ecc331f4-4282-4974-b46a-ac43182ceb63,Confirmed,Online,Cash,No,Los Angeles,Pending,6,1,No,2024-02-20,Usability,Poor,Positive,0.9478139404752579,165,1,Resolved,Regina Rodriguez,cwhite@example.com
Jeffrey Hull,ybradley@example.org,Male,25-34,No,Stationery,Furniture,target extensible experiences,2,"That if small story. Will him look senior fear central. Movie many social treat low. Across themselves energy choice general discuss.
Attention store factor. After arrive type million.",Yes,Other,3c76e8ac-54a7-4d51-a2f7-99d75b480ca0,Confirmed,Online,Card,Yes,Los Angeles,Delivered,7,13,No,2024-06-15,Quality,Excellent,Negative,0.8769437997623515,182,3,Resolved,Rebecca Banks,amandabrady@example.org
Sandy Espinoza,waltersjoel@example.com,Male,25-34,Yes,Stationery,Skincare,incubate strategic eyeballs,5,"Into draw just. Successful record fund language trouble heavy leave.
Grow fish what leave your purpose oil material. Upon media red arrive nor. Peace another six later model thank author.",Yes,Missing Parts,3cda2db0-b351-4d11-ac82-f40eb4158819,Not Confirmed,Online,Card,No,Chicago,Delivered,3,1,Yes,2024-08-30,Delivery,Poor,Positive,-0.16457898557494643,109,1,Resolved,Kathleen Friedman,bondcourtney@example.com
Lisa Rogers,alexis44@example.com,Female,25-34,No,Stationery,Skincare,integrate magnetic supply-chains,3,"Have what low imagine type soldier. Show page eye top different upon article science.
Red he support risk. Hold share usually difficult citizen.",Yes,Defective,30991a50-9e6b-4915-b226-1247aeb890ab,Confirmed,Online,Card,No,New York,Delivered,4,2,No,2024-11-21,Customer Support,Excellent,Negative,-0.8086127430909438,97,4,Resolved,Rodney Hunt,dvalenzuela@example.net
Janet Williams,garciaandrew@example.net,Female,55+,No,Household Items,Bedding,revolutionize clicks-and-mortar bandwidth,3,"Card draw reason address ahead. About thank sound. Idea prove open cup.
Company place officer a. Kid deal week size. Common try firm citizen.",No,Missing Parts,0e3b9dda-b097-4b9a-b282-5de1baf151ad,Not Confirmed,Offline,Card,Yes,Mumbai,Delivered,5,5,Yes,2024-04-17,Delivery,Average,Neutral,-0.5033557636529977,109,5,Resolved,Regina Rodriguez,cwhite@example.com
Ashley Brooks,cvelasquez@example.org,Other,45-54,Yes,Stationery,Skincare,e-enable plug-and-play architectures,4,Special hotel approach provide enjoy financial analysis detail. Phone three his data beyond break simply. Member industry site.,No,Missing Parts,0cda9508-0bba-4956-bee1-471287e4544e,Confirmed,Offline,Cash,Yes,London,Pending,1,19,No,2024-11-10,Service,Excellent,Negative,0.42746830968602856,126,3,Resolved,Rebecca Banks,cwhite@example.com
Dustin Henson,sherryhiggins@example.net,Female,18-24,No,Personal Care,Furniture,synergize wireless initiatives,2,"Whether west source lay tree middle development. Move century social particular. Store training agreement affect officer.
Young open include say prove. Night western list believe.",No,Other,983172ba-1b70-46be-b004-d0744ba73fb1,Not Confirmed,Online,UPI,Yes,Chicago,Pending,3,24,No,2024-03-03,Delivery,Poor,Neutral,0.310203890309358,131,2,Resolved,Sarah Gill,jeffreyleonard@example.com
Jacob Wolf,austin61@example.net,Male,18-24,No,Stationery,Microwaves,integrate synergistic e-services,5,"Rather Mr road budget national. Parent a spend without probably book.
House perhaps lot trouble into someone nation. Wish training increase effect.",Yes,Other,25b5665d-5b6d-4c95-9acc-fecf0e5dcea1,Not Confirmed,Online,Cash,No,Mumbai,Shipped,6,6,Yes,2024-10-20,Price,Average,Positive,-0.4544939392626395,151,4,Not Resolved,Karen Taylor,mcraig@example.com
Brian Willis,peterhinton@example.net,Female,18-24,Yes,Groceries,Bedding,iterate innovative schemas,5,Tough seat marriage none. Say happy page student first. Rather rich boy yet make suggest yet.,No,Defective,c70c8a0c-261c-43b6-86a1-629f218ded37,Confirmed,Offline,UPI,Yes,New York,Pending,3,13,Yes,2024-03-09,Price,Poor,Positive,0.15941904073998336,107,4,Resolved,Kathleen Friedman,mcraig@example.com
Brent Alvarez,cjames@example.org,Female,35-44,Yes,Groceries,Bedding,target dot-com architectures,5,State woman later various candidate. Debate not key report cost. My check rule themselves gas. Economy water market consider point.,Yes,Other,588a9e09-ee70-4b72-954e-97926468e0ef,Not Confirmed,Offline,UPI,No,New York,Delivered,3,5,Yes,2024-01-26,Quality,Average,Negative,0.9354137662211748,154,5,Resolved,Sarah Gill,amandabrady@example.org
Kevin Willis,bakershane@example.com,Other,25-34,No,Personal Care,Furniture,monetize web-enabled infrastructures,3,"Himself lot focus.
Month subject recognize they step table. It food detail PM wife.
Left open crime. Able board he simple activity. Mention nothing tree time treatment.",Yes,Missing Parts,ff22f834-0fe6-4196-aab2-6a95d3e1cb32,Not Confirmed,Online,Card,Yes,New York,Delivered,3,21,Yes,2024-03-02,Price,Excellent,Positive,-0.25069035989544,174,3,Not Resolved,Jason Howell,mcraig@example.com
Lindsay Davis,brownchristopher@example.net,Male,25-34,Yes,Household Items,Microwaves,optimize clicks-and-mortar content,3,"Art watch executive particular. Fire risk force surface service sense get Democrat. Set notice question reflect economy.
Where later we need interview whatever. Too laugh suggest enough.",Yes,Not as Described,7b1358c0-92b9-4887-a0d2-ede17abc8e1d,Not Confirmed,Online,Cash,No,Mumbai,Pending,6,11,Yes,2024-11-20,Service,Average,Neutral,0.2688217725584541,178,5,Not Resolved,Kathleen Friedman,amandabrady@example.org
Jacob Lee,iskinner@example.com,Other,35-44,No,Groceries,Hair Care,extend dot-com relationships,5,Although magazine difficult against TV sometimes. Food theory center fall. Writer another baby quite education health.,No,Defective,a08c3b2d-6ec9-464c-8d4e-b15a641aa196,Not Confirmed,Online,UPI,No,Los Angeles,Pending,1,13,Yes,2024-03-10,Usability,Poor,Positive,0.6583758758870057,96,1,Resolved,Jason Howell,thompsondawn@example.org
Taylor Morales,andre44@example.org,Female,45-54,Yes,Stationery,Furniture,whiteboard dot-com metrics,5,"Expect may education. Song bad piece instead. Return mother study poor.
Lot charge try hotel. Practice agreement sell tonight state record less.
Plan democratic really wonder Democrat behind.",No,Defective,2769072e-418e-4783-a5c5-21ea388de7e8,Not Confirmed,Offline,Cash,Yes,London,Pending,3,1,Yes,2024-08-18,Delivery,Excellent,Positive,-0.39433097411110807,145,2,Resolved,Kathleen Friedman,carolgarcia@example.org
Gavin Jones,egonzales@example.com,Other,45-54,No,Stationery,Skincare,extend strategic e-business,5,Build way grow activity instead particularly hear. Page I thousand garden system sister unit.,Yes,Other,704fd739-9159-48fa-972a-9cbbf78c63e7,Confirmed,Online,UPI,No,Mumbai,Pending,2,21,Yes,2024-08-10,Service,Poor,Positive,0.9310513647764871,117,2,Not Resolved,Paul Brown,cwhite@example.com
Melinda Howard,smithbrandon@example.net,Female,25-34,No,Groceries,Pens,benchmark user-centric methodologies,1,"Couple under throughout fund industry. Lay operation fine game. To image protect most similar home us.
Western others get already relationship speech already pressure.",No,Other,1f8b2cb0-aa7e-4f74-b070-f603874a92e6,Confirmed,Online,Card,Yes,London,Shipped,4,13,Yes,2024-02-05,Delivery,Average,Positive,0.6593992382597031,162,3,Not Resolved,Karen Taylor,thompsondawn@example.org
Brittany Romero,moorejason@example.com,Female,55+,Yes,Stationery,Furniture,optimize best-of-breed methodologies,1,"Low care response reflect. Theory whole middle herself. Cause place turn style law.
Check prepare believe much. Wait before less too level account personal.",Yes,Defective,0dbc8faf-cf91-431e-a69c-ad2bc07e3d25,Confirmed,Offline,UPI,Yes,London,Shipped,3,12,No,2024-10-20,Customer Support,Excellent,Positive,-0.2496756238566913,97,2,Resolved,Kathleen Friedman,cwhite@example.com
Timothy Stephens,rodrigueztoni@example.com,Other,18-24,Yes,Household Items,Cleaning Supplies,harness scalable e-tailers,4,Democratic hair us process small can first. Maybe change discuss easy brother ahead shake.,No,Other,69e88782-1f47-43d6-8360-bf80ea58ec8c,Not Confirmed,Offline,Cash,Yes,Los Angeles,Shipped,2,21,No,2024-11-22,Usability,Poor,Neutral,0.8152034717598042,169,5,Not Resolved,Kathleen Friedman,cwhite@example.com
Linda Miller,robertgilbert@example.net,Female,25-34,No,Personal Care,Beverages,seize scalable models,2,"Someone throw specific prove pick too market. A sing table. Tree budget do serious she right society subject.
Hard radio somebody outside play last. Try raise assume here sing project less.",No,Not as Described,42992c0d-ff15-425b-8424-d22cfbec6120,Confirmed,Online,Card,Yes,Chicago,Pending,1,7,Yes,2024-10-17,Quality,Poor,Positive,-0.1378728114506924,145,2,Resolved,Kathleen Friedman,dvalenzuela@example.net
Ashley Hernandez,michellehull@example.com,Other,55+,Yes,Kitchen Appliances,Hair Care,generate enterprise platforms,4,Possible seem while check yourself guy draw. Participant question big which show. Friend mission law success minute stop.,Yes,Other,bbbd352f-fa07-4c52-9982-38bcd7f28ea2,Not Confirmed,Online,Cash,No,Mumbai,Pending,6,17,Yes,2024-05-07,Service,Good,Neutral,0.6939778098597076,157,1,Not Resolved,Paul Brown,rachelstone@example.net
Mary Stevenson,brownholly@example.com,Other,18-24,Yes,Household Items,Microwaves,mesh seamless channels,4,Behind often public rather summer. Writer president central Mr situation send. I minute treatment score miss realize small trip.,No,Defective,1ab4dd1a-3cd2-4de0-be4e-4bc71f26ec7d,Confirmed,Online,Cash,Yes,Los Angeles,Shipped,3,19,No,2024-11-26,Usability,Average,Positive,-0.637487599742542,148,2,Not Resolved,Karen Taylor,bondcourtney@example.com
Nicholas Anderson,hconway@example.com,Female,25-34,No,Stationery,Furniture,incentivize integrated partnerships,2,Difference order tell sometimes nature right. Baby bring argue market talk sister able. Plant agree strategy between through.,Yes,Other,89a2cb7e-ea4e-4514-bfaf-bdd35fa5c210,Not Confirmed,Online,Cash,Yes,New York,Pending,2,4,No,2024-08-22,Price,Excellent,Neutral,-0.6515969023246584,108,1,Resolved,Linda Barber,rachelstone@example.net
Blake Sherman,john67@example.org,Other,25-34,No,Kitchen Appliances,Skincare,e-enable dot-com e-markets,3,Black design price mission worry. Religious blood read space occur.,No,Missing Parts,5e7c1e3c-5dce-4a70-a71d-b4a2342f5bdc,Confirmed,Online,Cash,Yes,Los Angeles,Pending,1,17,Yes,2024-08-02,Service,Poor,Neutral,-0.9203588828011293,198,1,Resolved,Paul Brown,carolgarcia@example.org
Miss Sarah Ashley,kelly59@example.org,Other,55+,Yes,Stationery,Bedding,implement cutting-edge experiences,2,"Computer hope lawyer. Resource bring apply. Tax much yeah wide exist think.
Add unit doctor quickly. Consider discover able imagine across culture. Down try though seek.",No,Missing Parts,59aee1e5-c48e-40ab-8de3-274021e957c7,Confirmed,Offline,Card,No,London,Delivered,2,4,Yes,2024-02-15,Price,Excellent,Neutral,-0.5224250009978604,133,2,Not Resolved,Linda Barber,amandabrady@example.org
Alicia Davis,carnold@example.org,Female,25-34,Yes,Groceries,Hair Care,orchestrate web-enabled models,3,"Face difficult dog main note later. Able conference quickly series decision.
Everyone source key choice. Give quite rise station. Age dog realize indicate bag when.",No,Missing Parts,da043f81-0a59-4976-95a8-6327dc80f435,Confirmed,Offline,Cash,Yes,London,Shipped,2,1,Yes,2024-11-23,Delivery,Good,Negative,-0.7585019257670325,193,2,Not Resolved,Matthew Hall,dvalenzuela@example.net
Sandra Byrd,peggydavis@example.org,Female,25-34,Yes,Kitchen Appliances,Pencils,enhance revolutionary models,5,"Third hundred oil. Possible list road happen join. Discuss direction approach wear father.
Either modern security subject mission smile various.",Yes,Missing Parts,f8d303f0-aac4-4bdd-a6aa-2088b702c0ce,Confirmed,Offline,Cash,Yes,Chicago,Shipped,1,6,No,2024-08-22,Customer Support,Poor,Negative,-0.6651994307550309,159,2,Not Resolved,Matthew Hall,thomas01@example.org
John Ward,nicholas79@example.org,Female,18-24,Yes,Household Items,Toasters,empower customized bandwidth,1,"Nearly anything defense seek.
And arm this understand. Tell compare be. Money enough fight.
Instead who bed cut strategy enter. Improve night born.",Yes,Other,5356c956-faa3-4dfc-96c5-829ebb6fcc4f,Confirmed,Offline,Card,No,New York,Pending,4,4,No,2024-01-12,Service,Good,Neutral,0.9266476282445555,157,2,Not Resolved,Karen Taylor,cwhite@example.com
